time,prediction
1659494264.130032,-0.044616369903087615
1659494264.130032,10623.986953106218
1659494269.130032,10391.484643480371
1659494274.130032,10972.376699647924
1659494279.130032,10043.731012380658
1659494284.130032,9990.183920375659
1659494289.130032,9771.376455953015
1659494294.130032,10668.678533823908
1659494299.130032,11000.553755081399
1659494304.130032,9726.387469566427
1659494309.130032,10052.335160993662
1659494314.130032,10233.12602971711
1659494319.130032,10828.748906525518
1659494324.130032,11261.819483278086
1659494329.130032,9964.408269441574
1659494334.130032,10938.578538451648
1659494339.130032,10400.27854919256
1659494344.130032,11489.613638808136
1659494349.130032,9713.104794996761
1659494354.130032,11766.709704914258
1659494359.130032,10970.546863357258
1659494364.130032,9081.965848779286
1659494369.130032,11288.092498086578
1659494374.130032,11071.5707181672
1659494379.130032,11261.503470613952
1659494384.130032,11199.250859650077
1659494389.130032,9888.31883595711
1659494394.130032,10790.619629200404
1659494399.130032,10214.30401136261
1659494404.130032,10110.652848825834
1659494409.130032,11288.092498086578
1659494414.130032,11123.473354760516
1659494419.130032,10481.306813142848
1659494424.130032,11288.092498086578
1659494429.130032,10464.451087750274
1659494434.130032,10454.292018934482
1659494439.130032,11288.092498086578
1659494444.130032,11266.539115885182
1659494449.130032,10925.09475520606
1659494454.130032,9453.31108664349
1659494459.130032,11288.092498086578
1659494464.130032,10535.808050103162
1659494469.130032,11288.092498086578
1659494474.130032,10419.524641821945
1659494479.130032,9727.325020346025
1659494484.130032,10998.282033380185
1659494489.130032,10516.85916165924
1659494494.130032,10867.764021891777
1659494499.130032,10008.915988465387
1659494504.130032,11288.092498086578
1659494509.130032,9890.076714453757
1659494514.130032,11545.839171006135
1659494519.130032,11267.970982094814
1659494524.130032,11288.092498086578
1659494529.130032,10238.046972483562
1659494534.130032,11281.20348829655
1659494539.130032,10572.86442410664
1659494544.130032,9643.052163868753
1659494549.130032,12382.09858623768
1659494554.130032,10972.79819090517
1659494559.130032,11255.927057906727
1659494564.130032,11231.842717357164
1659494569.130032,9707.203554725118
1659494574.130032,11273.60773304635
1659494579.130032,10692.73273849608
1659494584.130032,11102.36906503214
1659494589.130032,11687.233153550476
1659494594.130032,10494.016855671249
1659494599.130032,11288.092498086578
1659494604.130032,11146.727396177823
1659494609.130032,11275.929343053514
1659494614.130032,10825.043670480174
1659494619.130032,10461.87849083541
1659494624.130032,10435.615536094832
1659494629.130032,11288.092498086578
1659494634.130032,11160.635612338814
1659494639.130032,10486.901105490104
1659494644.130032,9873.84494296304
1659494649.130032,10486.942554662375
1659494654.130032,10483.345793268825
1659494659.130032,11174.66020533192
1659494664.130032,10569.550392328574
1659494669.130032,11288.092498086578
1659494674.130032,10631.92341382294
1659494679.130032,8770.827234159104
1659494684.130032,11288.092498086578
1659494689.130032,11061.014666539208
1659494694.130032,9877.690552517626
1659494699.130032,12045.721668945518
1659494704.130032,11042.896627277321
1659494709.130032,11288.092498086578
1659494714.130032,11235.95137361046
1659494719.130032,11238.97788852662
1659494724.130032,10522.58810941585
1659494729.130032,11700.164114606143
1659494734.130032,10455.870520758519
1659494739.130032,11269.30358950497
1659494744.130032,9046.25101596148
1659494749.130032,10386.046843317163
1659494754.130032,9919.66720842189
1659494759.130032,11266.333949332875
1659494764.130032,10970.981773411284
1659494769.130032,7068.693929169431
1659494774.130032,11288.092498086578
1659494779.130032,11248.992346636533
1659494784.130032,8512.987588723248
1659494789.130032,12184.548696111178
1659494794.130032,11288.092498086578
1659494799.130032,9847.255689828966
1659494804.130032,11129.305123543732
1659494809.130032,11258.654321565724
1659494814.130032,8856.958549663832
1659494819.130032,11267.07365143853
1659494824.130032,10263.587258528089
1659494829.130032,7876.564167207017
1659494834.130032,11380.568325479533
1659494839.130032,9789.807757630148
1659494844.130032,11288.092498086578
1659494849.130032,11046.420105115849
1659494854.130032,8345.212203356496
1659494859.130032,11261.82014212892
1659494864.130032,11674.47045534114
1659494869.130032,11630.687242542306
1659494874.130032,10971.266820086274
1659494879.130032,11252.032963378315
1659494884.130032,10729.616179267203
1659494889.130032,10412.036268175903
1659494894.130032,9840.183548722518
1659494899.130032,11288.092498086578
1659494904.130032,11125.037849456141
1659494909.130032,10816.011988121707
1659494914.130032,11288.092498086578
1659494919.130032,10173.865592832715
1659494924.130032,11288.092498086578
1659494929.130032,10825.822137998746
1659494934.130032,11111.74293275296
1659494939.130032,9435.97080970815
1659494944.130032,11298.213015061896
1659494949.130032,10751.418540593872
1659494954.130032,11230.383624690945
1659494959.130032,9999.055429447719
1659494964.130032,9903.981827769845
1659494969.130032,11288.092498086578
1659494974.130032,11161.187689040022
1659494979.130032,8234.750006126496
1659494984.130032,11018.716983048113
1659494989.130032,10991.088260753628
1659494994.130032,10352.200152820707
1659494999.130032,10817.812369548992
1659495004.130032,10684.4969741365
1659495009.130032,11135.011480977599
1659495014.130032,9199.21065541948
1659495019.130032,11288.092498086578
1659495024.130032,11365.984148512423
1659495029.130032,10541.742805129401
1659495034.130032,9367.378546636504
1659495039.130032,10562.895015677983
1659495044.130032,11288.092498086578
1659495049.130032,11253.310072176271
1659495054.130032,9580.473113472977
1659495059.130032,11758.518851212362
1659495064.130032,10129.559917367962
1659495069.130032,9718.443703060346
1659495074.130032,11288.092498086578
1659495079.130032,9009.95017260232
1659495084.130032,9400.919139468673
1659495089.130032,10829.507677023475
1659495094.130032,10933.211753139982
1659495099.130032,11659.153982799447
1659495104.130032,11267.32871939321
1659495109.130032,11110.942511599298
1659495114.130032,9960.81729868195
1659495119.130032,11288.092498086578
1659495124.130032,10709.862662695497
1659495129.130032,11254.227295292103
1659495134.130032,10184.37168059847
1659495139.130032,11288.092498086578
1659495144.130032,11288.092498086578
1659495149.130032,7820.981983706336
1659495154.130032,11281.90844156157
1659495159.130032,10496.65833574291
1659495164.130032,11209.851584185304
1659495169.130032,10041.284971241057
1659495174.130032,11288.092498086578
1659495179.130032,11094.246778158047
1659495184.130032,11768.647999738043
1659495189.130032,11288.092498086578
1659495194.130032,10162.564701271467
1659495199.130032,10301.896565332143
1659495204.130032,10535.784041337032
1659495209.130032,10489.381100618193
1659495214.130032,9954.129958699214
1659495219.130032,11747.205318580398
1659495224.130032,10640.401913336138
1659495229.130032,11244.504244689228
1659495234.130032,10110.67850975613
1659495239.130032,10137.671197201993
1659495244.130032,10031.783447645417
1659495249.130032,11288.092498086578
1659495254.130032,11285.448714051836
1659495259.130032,10773.895403986593
1659495264.130032,11274.12098590445
1659495269.130032,10062.989339084223
1659495274.130032,10315.84453014521
1659495279.130032,11288.092498086578
1659495284.130032,10842.257399699589
1659495289.130032,11252.679696997342
1659495294.130032,10923.38063085218
1659495299.130032,10666.12032282631
1659495304.130032,10867.737978142954
1659495309.130032,10482.642003570643
1659495314.130032,11288.092498086578
1659495319.130032,9972.07954572034
1659495324.130032,10492.026803782654
1659495329.130032,10365.608230680384
1659495334.130032,10676.983552069805
1659495339.130032,9716.491384989477
1659495344.130032,11870.55203493427
1659495349.130032,9822.800114035377
1659495354.130032,10089.483757995058
1659495359.130032,10024.751176081107
1659495364.130032,10083.175956388708
1659495369.130032,10409.745337043985
1659495374.130032,10313.334272205166
1659495379.130032,11288.092498086578
1659495384.130032,11267.774604249946
1659495389.130032,11270.915970768623
1659495394.130032,10068.70588352057
1659495399.130032,10083.319356179147
1659495404.130032,11053.001025577829
1659495409.130032,10453.002162279585
1659495414.130032,11288.092498086578
1659495419.130032,9871.01190855995
1659495424.130032,11288.092498086578
1659495429.130032,9901.434416284368
1659495434.130032,11859.182634975417
1659495439.130032,10528.208751766753
1659495444.130032,9033.926233939022
1659495449.130032,11054.020555937508
1659495454.130032,11288.092498086578
1659495459.130032,11288.092498086578
1659495464.130032,9127.562114298638
1659495469.130032,10828.720146779991
1659495474.130032,11965.170558066262
1659495479.130032,10912.491752767393
1659495484.130032,11288.092498086578
1659495489.130032,8813.788672589822
1659495494.130032,11288.092498086578
1659495499.130032,11229.515368094351
1659495504.130032,9764.345526268386
1659495509.130032,10315.537227609977
1659495514.130032,11288.092498086578
1659495519.130032,11122.382708807581
1659495524.130032,11260.91426454532
1659495529.130032,10172.964776513007
1659495534.130032,10259.109454399153
1659495539.130032,11288.092498086578
1659495544.130032,11288.092498086578
1659495549.130032,11143.2630537275
1659495554.130032,10939.506063415516
1659495559.130032,10224.966063425818
1659495564.130032,10897.609408523998
1659495569.130032,12141.371799354287
1659495574.130032,11522.209040608845
1659495579.130032,10472.445664349023
1659495584.130032,9933.590551959185
1659495589.130032,10424.47339736178
1659495594.130032,10155.516262676325
1659495599.130032,11288.092498086578
1659495604.130032,10096.348572646777
1659495609.130032,12639.680288550237
1659495614.130032,10060.2234792584
1659495619.130032,11288.092498086578
1659495624.130032,9914.744226643072
1659495629.130032,10701.68311624398
1659495634.130032,9880.764681999173
1659495639.130032,11276.512961986493
1659495644.130032,10194.46834596474
1659495649.130032,11502.113489787362
1659495654.130032,10777.55980336931
1659495659.130032,9455.556192382926
1659495664.130032,11265.903580715476
1659495669.130032,10976.746516714978
1659495674.130032,7084.468018948287
1659495679.130032,11288.092498086578
1659495684.130032,10222.987169689859
1659495689.130032,10727.187473762355
1659495694.130032,11685.756211466742
1659495699.130032,11241.455631069903
1659495704.130032,9551.74963899315
1659495709.130032,11288.092498086578
1659495714.130032,10738.792955891797
1659495719.130032,8916.035310219111
1659495724.130032,10866.446243662442
1659495729.130032,11269.168329645312
1659495734.130032,11306.7753961588
1659495739.130032,11152.880474624682
1659495744.130032,10533.787678987248
1659495749.130032,10136.903255178073
1659495754.130032,11288.092498086578
1659495759.130032,10016.768466856687
1659495764.130032,9953.915177357383
1659495769.130032,11281.827773638655
1659495774.130032,11269.216095323272
1659495779.130032,11009.936105254837
1659495784.130032,11288.092498086578
1659495789.130032,10765.946004003668
1659495794.130032,10832.607290129892
1659495799.130032,10832.607290129892
1659495804.130032,10832.607290129892
1659495809.130032,10832.607290129892
1659495814.130032,10832.607290129892
1659495819.130032,10945.431916903592
1659495824.130032,11215.933281080772
1659495829.130032,10487.424591691874
1659495834.130032,11276.771419899967
1659495839.130032,9894.349243229331
1659495844.130032,10237.625058111103
1659495849.130032,10195.957179600817
1659495854.130032,10007.550067784068
1659495859.130032,9683.28694712045
1659495864.130032,9683.647876486773
1659495869.130032,9778.685404570422
1659495874.130032,10091.391145259899
1659495879.130032,10351.89801632075
1659495884.130032,10455.98689759064
1659495889.130032,10439.403795404449
1659495894.130032,11288.092498086578
1659495899.130032,10308.146323590505
1659495904.130032,10286.195879998368
1659495909.130032,10744.112412744556
1659495914.130032,10291.638406962962
1659495919.130032,9747.682487544147
1659495924.130032,11038.12933980815
1659495929.130032,10022.70274235235
1659495934.130032,9839.737077548987
1659495939.130032,10544.230283352268
1659495944.130032,10366.862594013353
1659495949.130032,10311.438643513602
1659495954.130032,11288.092498086578
1659495959.130032,11187.669639148477
1659495964.130032,10330.39418494055
1659495969.130032,12004.45340260626
1659495974.130032,10305.76524876972
1659495979.130032,10118.450483426097
1659495984.130032,11288.092498086578
1659495989.130032,11232.881848025407
1659495994.130032,7974.705188968046
1659495999.130032,11504.819750813082
1659496004.130032,10772.723237835813
1659496009.130032,7827.650372157166
1659496014.130032,11288.092498086578
1659496019.130032,11079.843930238034
1659496024.130032,11035.415833438106
1659496029.130032,11278.989673942006
1659496034.130032,10013.060776743103
1659496039.130032,10340.885697394608
1659496044.130032,10386.368302078548
1659496049.130032,11402.279729124255
1659496054.130032,10811.064951235572
1659496059.130032,11034.158590906853
1659496064.130032,9965.808526929904
1659496069.130032,10005.525143142522
1659496074.130032,9967.63305614689
1659496079.130032,9874.147353480468
1659496084.130032,11288.092498086578
1659496089.130032,10473.737878360113
1659496094.130032,10593.957652394425
1659496099.130032,11288.092498086578
1659496104.130032,11288.092498086578
1659496109.130032,11288.092498086578
1659496114.130032,11119.189015025973
1659496119.130032,10990.381638198349
1659496124.130032,10990.381638198349
1659496129.130032,10990.381638198349
1659496134.130032,10990.381638198349
1659496139.130032,10990.381638198349
1659496144.130032,10990.381638198349
1659496149.130032,10990.381638198349
1659496154.130032,10990.381638198349
1659496159.130032,10990.381638198349
1659496164.130032,10990.381638198349
1659496169.130032,10990.381638198349
1659496174.130032,10990.381638198349
1659496179.130032,10990.381638198349
1659496184.130032,10990.381638198349
1659496189.130032,10990.381638198349
1659496194.130032,10990.381638198349
1659496199.130032,10990.381638198349
1659496204.130032,10990.381638198349
1659496209.130032,10990.381638198349
1659496214.130032,10990.381638198349
1659496219.130032,10990.381638198349
1659496224.130032,10990.381638198349
1659496229.130032,10990.381638198349
1659496234.130032,10990.381638198349
1659496239.130032,10990.381638198349
1659496244.130032,11288.092498086578
1659496249.130032,11288.092498086578
1659496254.130032,10070.72383683526
1659496259.130032,11288.092498086578
1659496264.130032,8956.605797111057
1659496269.130032,10100.33989502164
1659496274.130032,10558.08139104841
1659496279.130032,12408.027719193298
1659496284.130032,9872.31771464357
1659496289.130032,11283.600191179983
1659496294.130032,12133.772311623452
1659496299.130032,11232.274466136092
1659496304.130032,10481.620418079929
1659496309.130032,11288.092498086578
1659496314.130032,11269.49594977014
1659496319.130032,10053.20583539148
1659496324.130032,9938.035413546482
1659496329.130032,9832.269972494352
1659496334.130032,10222.686302535543
1659496339.130032,10416.807412038019
1659496344.130032,10347.598480705532
1659496349.130032,10024.005219929624
1659496354.130032,10157.688657073695
1659496359.130032,11288.092498086578
1659496364.130032,9390.168845720224
1659496369.130032,10770.444323175967
1659496374.130032,11723.503846928403
1659496379.130032,10328.994830098007
1659496384.130032,10353.647964429392
1659496389.130032,11288.092498086578
1659496394.130032,11004.792233156442
1659496399.130032,10867.433169972648
1659496404.130032,11288.092498086578
1659496409.130032,10988.145272810329
1659496414.130032,10732.13940065146
1659496419.130032,10582.728718627195
1659496424.130032,9860.790025268423
1659496429.130032,11288.092498086578
1659496434.130032,11288.092498086578
1659496439.130032,10936.29866473065
1659496444.130032,10181.937994423108
1659496449.130032,11288.092498086578
1659496454.130032,10722.80902917461
1659496459.130032,9923.660078189529
1659496464.130032,10204.416614751384
1659496469.130032,11288.092498086578
1659496474.130032,11288.092498086578
1659496479.130032,10772.450030327473
1659496484.130032,10584.298214141683
1659496489.130032,9968.286942427862
1659496494.130032,9905.019644766091
1659496499.130032,10038.289396121192
1659496504.130032,11267.801689668127
1659496509.130032,11047.727926033822
1659496514.130032,9623.697411222813
1659496519.130032,11112.804976117448
1659496524.130032,11255.763602455158
1659496529.130032,10975.602618690144
1659496534.130032,10553.850956192096
1659496539.130032,11288.092498086578
1659496544.130032,10174.714063755982
1659496549.130032,9974.597907324143
1659496554.130032,9922.276007880373
1659496559.130032,11288.092498086578
1659496564.130032,10140.748268341693
1659496569.130032,9859.190029191528
1659496574.130032,10057.308852123426
1659496579.130032,10033.694074763893
1659496584.130032,9902.959081734543
1659496589.130032,10073.508732816033
1659496594.130032,11211.48852829453
1659496599.130032,11260.509796623504
1659496604.130032,11288.092498086578
1659496609.130032,9994.110622983211
1659496614.130032,10404.931881660497
1659496619.130032,10314.136160158236
1659496624.130032,11055.006865708401
1659496629.130032,10168.601249758794
1659496634.130032,9969.752081611969
1659496639.130032,10049.443841462462
1659496644.130032,9715.572846186817
1659496649.130032,10065.315304155836
1659496654.130032,9822.32046256975
1659496659.130032,10415.894949975762
1659496664.130032,10375.953937631792
1659496669.130032,11288.092498086578
1659496674.130032,11312.119276833564
1659496679.130032,10927.226188021075
1659496684.130032,7658.919761883886
1659496689.130032,11288.092498086578
1659496694.130032,10707.542613177535
1659496699.130032,10760.21496081933
1659496704.130032,11288.092498086578
1659496709.130032,11105.443545094862
1659496714.130032,11008.185113462001
1659496719.130032,11008.185113462001
1659496724.130032,11008.185113462001
1659496729.130032,11008.185113462001
1659496734.130032,11008.185113462001
1659496739.130032,11008.185113462001
1659496744.130032,11008.185113462001
1659496749.130032,11008.185113462001
1659496754.130032,11008.185113462001
1659496759.130032,11008.185113462001
1659496764.130032,11008.185113462001
1659496769.130032,11008.185113462001
1659496774.130032,11008.185113462001
1659496779.130032,11008.185113462001
1659496784.130032,11008.185113462001
1659496789.130032,11008.185113462001
1659496794.130032,11008.185113462001
1659496799.130032,11008.185113462001
1659496804.130032,11008.185113462001
1659496809.130032,11008.185113462001
1659496814.130032,11008.185113462001
1659496819.130032,11008.185113462001
1659496824.130032,11008.185113462001
1659496829.130032,11008.185113462001
1659496834.130032,11008.185113462001
1659496839.130032,11008.185113462001
1659496844.130032,11008.185113462001
1659496849.130032,11008.185113462001
1659496854.130032,11288.092498086578
1659496859.130032,10558.75766616869
1659496864.130032,11288.092498086578
1659496869.130032,11288.092498086578
1659496874.130032,10751.06823343425
1659496879.130032,10877.28440836661
1659496884.130032,11288.092498086578
1659496889.130032,10986.280450935988
1659496894.130032,11243.719313582058
1659496899.130032,11133.27896924543
1659496904.130032,9944.683971997627
1659496909.130032,11287.995215839603
1659496914.130032,10597.153824422287
1659496919.130032,11288.092498086578
1659496924.130032,9898.218551265558
1659496929.130032,11288.092498086578
1659496934.130032,10559.363051357166
1659496939.130032,9953.393552862555
1659496944.130032,10145.944993574787
1659496949.130032,9923.723384284842
1659496954.130032,9803.223153368188
1659496959.130032,10484.701244870856
1659496964.130032,10335.567679133575
1659496969.130032,10219.116217548803
1659496974.130032,11288.092498086578
1659496979.130032,10962.42598082271
1659496984.130032,11288.092498086578
1659496989.130032,10492.820551804945
1659496994.130032,11288.092498086578
1659496999.130032,10934.8860301149
1659497004.130032,11252.035191785108
1659497009.130032,9623.951405270782
1659497014.130032,10804.429082211169
1659497019.130032,10999.967160238084
1659497024.130032,11015.551337775507
1659497029.130032,11714.646187827679
1659497034.130032,11338.278362833675
1659497039.130032,11288.092498086578
1659497044.130032,10348.51141020936
1659497049.130032,9883.111303152553
1659497054.130032,11288.092498086578
1659497059.130032,10467.600418909142
1659497064.130032,11288.092498086578
1659497069.130032,10188.366678031185
1659497074.130032,10016.252407334337
1659497079.130032,10663.117615192841
1659497084.130032,11007.348034412154
1659497089.130032,10071.568963133504
1659497094.130032,11613.624194724674
1659497099.130032,11280.709262526645
1659497104.130032,9163.681807930956
1659497109.130032,10731.567562454931
1659497114.130032,10311.349547538597
1659497119.130032,11288.092498086578
1659497124.130032,10426.708936667716
1659497129.130032,9914.688947647815
1659497134.130032,11288.092498086578
1659497139.130032,11288.092498086578
1659497144.130032,11113.406698337069
1659497149.130032,8330.237132406593
1659497154.130032,11288.092498086578
1659497159.130032,10947.481591770305
1659497164.130032,9676.164705143025
1659497169.130032,9667.853315990908
1659497174.130032,11288.092498086578
1659497179.130032,9171.123316529993
1659497184.130032,11288.092498086578
1659497189.130032,10638.421943678633
1659497194.130032,11245.563112674776
1659497199.130032,9775.296674823625
1659497204.130032,10053.17984402835
1659497209.130032,11288.092498086578
1659497214.130032,11001.536426061455
1659497219.130032,10054.93746865587
1659497224.130032,10154.305089332507
1659497229.130032,10245.543268458272
1659497234.130032,10317.556099689133
1659497239.130032,10714.190240775213
1659497244.130032,10745.367795583707
1659497249.130032,10747.75418150784
1659497254.130032,10747.75418150784
1659497259.130032,11191.522003435222
1659497264.130032,10245.054864552225
1659497269.130032,10224.336121436272
1659497274.130032,11288.092498086578
1659497279.130032,11288.092498086578
1659497284.130032,11218.891416548722
1659497289.130032,11206.517162283608
1659497294.130032,11270.365939124278
1659497299.130032,10221.832496330917
1659497304.130032,11288.092498086578
1659497309.130032,10988.704409491103
1659497314.130032,11288.092498086578
1659497319.130032,11277.953370086358
1659497324.130032,9904.445755468194
1659497329.130032,10110.242547958573
1659497334.130032,10475.695096508121
1659497339.130032,9928.0536098569
1659497344.130032,10570.65944580814
1659497349.130032,10471.648777214814
1659497354.130032,11288.092498086578
1659497359.130032,10000.61574940657
1659497364.130032,11793.883856401122
1659497369.130032,11244.58560974483
1659497374.130032,11650.301104900635
1659497379.130032,11223.045551642994
1659497384.130032,9676.160050875675
1659497389.130032,11288.092498086578
1659497394.130032,11288.092498086578
1659497399.130032,10462.463622908987
1659497404.130032,10911.056678941475
1659497409.130032,10267.316938543783
1659497414.130032,10653.439592108045
1659497419.130032,10613.277222002926
1659497424.130032,11288.092498086578
1659497429.130032,10908.157888404501
1659497434.130032,10588.474381449583
1659497439.130032,10645.721753007423
1659497444.130032,10647.370097049408
1659497449.130032,11045.20328620618
1659497454.130032,10184.855692165633
1659497459.130032,10264.292035495102
1659497464.130032,11014.09388115478
1659497469.130032,10187.196276875298
1659497474.130032,10186.677545682596
1659497479.130032,10015.767303726956
1659497484.130032,9936.589729602867
1659497489.130032,10104.221384746352
1659497494.130032,10311.539336875134
1659497499.130032,10330.64497943157
1659497504.130032,10331.472375187524
1659497509.130032,11288.092498086578
1659497514.130032,10556.003855052286
1659497519.130032,10157.911884601126
1659497524.130032,11288.092498086578
1659497529.130032,10904.033292796654
1659497534.130032,10533.717744086922
1659497539.130032,11015.078804719642
1659497544.130032,10545.297291268595
1659497549.130032,10532.606035055682
1659497554.130032,10627.135800704838
1659497559.130032,10037.809188561285
1659497564.130032,9773.632941476866
1659497569.130032,9926.429081156943
1659497574.130032,11288.092498086578
1659497579.130032,10478.635743213905
1659497584.130032,11247.359599427258
1659497589.130032,10226.666091998577
1659497594.130032,10785.096182458601
1659497599.130032,10896.350721356512
1659497604.130032,11280.826647783359
1659497609.130032,11288.092498086578
1659497614.130032,11175.027666791208
1659497619.130032,10831.032975131637
1659497624.130032,10364.602965347915
1659497629.130032,11288.092498086578
1659497634.130032,9954.462293536422
1659497639.130032,11924.211333064284
